"Supplementary Dataset 3. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_B1	C00001075	ERR410034	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001076	ERR410035	aureus	1094	cc1094	S	S	S	R	S	S	S	S	S	S		S
St_B1	C00001077	ERR410036	aureus	97	cc97	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001078	ERR410037	aureus	97	cc97	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001079	ERR410038	aureus	22	cc22	S	R	S	S	S	S	S	R	S	S		S
St_B1	C00001081	ERR410040	aureus	15	cc15	S	R	S	S	S	S	S	R	S	S		S
St_B1	C00001083	ERR410042	aureus	59	cc59	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001084	ERR410043	aureus	8	cc8	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001085	ERR410044	aureus	5	cc5	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001086	ERR410045	aureus	8	cc8	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001087	ERR410046	aureus	2437	cc5	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001088	ERR410047	aureus	39	cc39	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001089	ERR410048	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001090	ERR410049	aureus	34	cc34	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001091	ERR410050	aureus	8	cc8	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001093	ERR410052	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001094	ERR410053	aureus	2255	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001096	ERR410055	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001097	ERR410056	aureus	45	cc45	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001098	ERR410057	aureus	878	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001099	ERR410058	aureus	7	cc7	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001100	ERR410059	aureus	34	cc34	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001101	ERR410060	aureus	45	cc45	S	R	S	S	S	S	S	S	S	R		S
St_B1	C00001102	ERR410061	aureus	34	cc34	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001103	ERR410062	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001104	ERR410063	aureus	8	cc8	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001105	ERR410064	aureus	45	cc45	S	S	S	S	S	R	S	S	S	S		S
St_B1	C00001106	ERR410065	aureus	1	cc1	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001107	ERR410066	aureus	88	cc88	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001108	ERR410067	aureus	942	cc942	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001109	ERR410068	aureus	45	cc45	S	S	S	S	S	R	S	S	S	S		S
St_B1	C00001110	ERR410069	aureus	123	cc123	S	R	S	S	S	S	S	S	S	R		S
