"Supplementary Data 6. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
MTBC_A1	C00000575	ERR025839	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00000581	ERR025846	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003749	ERR038257	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003757	ERR038265	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003758	ERR038266	tuberculosis	S	S	S	 	 	S	S	S	 	 
MTBC_A1	C00003763	ERR038271	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003766	ERR038274	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A1	C00003767	ERR038275	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003772	ERR038280	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003780	ERR038288	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003781	SRR2100067	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003784	ERR038292	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003786	ERR038294	tuberculosis	S	S	S	 	S	S	S	 	S	R
MTBC_A1	C00003798	ERR039328	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003817	ERR040086	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003819	ERR040088	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003823	SRR2100068	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003824	ERR040093	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00003839	ERR040108	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A1	C00005264	ERR046729	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005266	SRR2100069	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005282	ERR046747	bovis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005283	ERR046748	bovis	S	S	S	 	 	 	S	 	 	 
MTBC_A1	C00005284	ERR046749	bovis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005285	SRR2100072	bovis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005290	ERR046755	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005291	ERR046756	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005295	ERR046760	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005301	ERR046766	tuberculosis	S	S	S	 	 	 	 	 	 	 
