"Supplementary Data 7. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin
MTBC_A2	C00008719	SRR2100187	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008716	SRR2100184	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008717	SRR2100185	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008712	SRR2100181	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014865	SRR2100930	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014864	SRR2100929	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014867	SRR2100932	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014866	SRR2100931	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014860	SRR2100925	tuberculosis	R	R	S	S	S	S	R	S	S	S
MTBC_A2	C00007289	ERR072041	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007288	ERR072040	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007283	ERR072035	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007282	ERR072034	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007285	ERR072037	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007284	ERR072036	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007286	ERR072038	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008821	SRR2100276	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008822	SRR2100277	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008823	SRR2100278	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008824	SRR2100279	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008828	SRR2100283	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008829	SRR2100284	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018003	SRR2101268	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018002	SRR2101267	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018007	SRR2101272	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018004	SRR2101269	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018009	SRR2101274	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00018008	SRR2101273	tuberculosis	S	S	S	 	 	 	 	S	 	 
