comid	country
10010-03	Sierra Leone
10011-03	Sierra Leone
10012-03	Sierra Leone
10016-05	Germany
10054-10	Germany
10056-06	Germany
10057-10	Germany
10058-10	Germany
10091-01	Uzbekistan
10093-08	Germany
10094-12	Germany
10098-05	Germany
10108-01	Uzbekistan
10108-11	Germany
10118-05	Germany
1014-10	Germany
10155-09	Germany
1016-12	Germany
10162-04	Germany
10168-06	Germany
10205-03	Sierra Leone
10206-03	Sierra Leone
10207-03	Sierra Leone
10212-12	Germany
10213-12	Germany
10214-09	Germany
10214-12	Germany
10229-10	Germany
10238-08	Germany
10239-08	Germany
10243-09	Germany
10245-11	Germany
10256-10	Germany
10309-10	Germany
10311-11	Germany
10324-06	Germany
10325-06	Germany
10348-03	Sierra Leone
10349-03	Sierra Leone
10353-09	Germany
1036-06	Germany
10362-05	Germany
10363-05	Germany
10392-11	Germany
10396-11	Germany
10410-05	Germany
10413-11	Germany
1042-05	Germany
1043-05	Germany
1043-09	Germany
10433-12	Germany
10461-10	Germany
10468-07	Germany
1047-07	Germany
10471-07	Germany
10480-10	Germany
10481-10	Germany
1049-02	Uzbekistan
10498-05	Germany
1050-08	Germany
10517-03	Sierra Leone
10527-05	Uzbekistan
10529-05	Uzbekistan
10530-05	Uzbekistan
10531-05	Uzbekistan
10531-09	Germany
10532-05	Uzbekistan
10533-05	Uzbekistan
10535-06	Germany
10536-05	Uzbekistan
10539-05	Uzbekistan
10539-12	Germany
10540-05	Uzbekistan
10546-12	Germany
10549-06	Germany
10562-08	Germany
10564-01	Uzbekistan
10567-10	Germany
10574-08	Germany
10574-09	Germany
10583-07	Germany
10584-09	Germany
10596-05	Germany
1062-02	Uzbekistan
10622-09	Germany
10641-08	Germany
10672-10	Germany
10701-08	Germany
10714-06	Germany
10718-09	Germany
10729-12	Germany
10730-04	Uzbekistan
10732-04	Uzbekistan
10734-04	Uzbekistan
10734-09	Germany
10735-04	Uzbekistan
10736-04	Uzbekistan
10738-04	Uzbekistan
10836-09	Germany
10849-11	Germany
10864-08	Germany
10874-11	Germany
10920-11	Germany
10932-10	Germany
10974-11	Germany
1103-06	Germany
11048-07	Germany
11056-12	Germany
11096-03	Sierra Leone
11097-03	Sierra Leone
1110-07	Germany
11135-07	Germany
11156-07	Germany
11198-11	Germany
11216-12	Germany
11219-12	Germany
11233-10	Germany
11244-08	Germany
11306-09	Germany
1131-10	Germany
11324-10	Germany
11331-06	Germany
11361-03	Uzbekistan
11362-03	Uzbekistan
11365-03	Uzbekistan
11366-03	Uzbekistan
11368-07	Germany
1137-10	Germany
11372-03	Uzbekistan
11404-09	Germany
11406-08	Germany
11429-10	Germany
11430-10	Germany
11467-12	Germany
11468-12	Germany
11493-10	Germany
11494-10	Germany
11535-12	Germany
11582-07	Germany
11583-07	Germany
11584-07	Germany
11586-07	Germany
116-04	Uzbekistan
1160-05	Germany
11612-12	Germany
11613-12	Germany
11620-08	Germany
11626-12	Germany
11629-12	Germany
1166-12	Germany
11661-10	Germany
11664-11	Germany
11665-11	Germany
117-04	Uzbekistan
11701-10	Germany
11753-11	Germany
11760-08	Germany
11768-10	Germany
118-04	Uzbekistan
1180-10	Germany
11818-03	Sierra Leone
11821-03	Sierra Leone
11822-03	Sierra Leone
11827-10	Germany
1185-09	Germany
11857-07	Germany
11858-07	Germany
11859-07	Germany
1186-09	Germany
1186-11	Germany
1188-11	Germany
119-04	Uzbekistan
11931-10	Germany
11932-10	Germany
11933-08	Germany
11935-08	Germany
1197-11	Germany
1199-08	Germany
120-04	Uzbekistan
12000-10	Germany
1203-08	Germany
1204-06	Germany
121-04	Uzbekistan
12114-12	Germany
1212-06	Germany
12137-12	Germany
1231-05	Germany
12355-12	Germany
1238-02	Uzbekistan
12397-12	Germany
1244-12	Germany
12657-03	Sierra Leone
129-11	Germany
130-09	Germany
130-11	Germany
1301-05	Uzbekistan
1310-05	Uzbekistan
1311-05	Uzbekistan
1312-05	Uzbekistan
1313-05	Uzbekistan
1314-05	Uzbekistan
1315-05	Uzbekistan
1319-05	Uzbekistan
1322-04	Sierra Leone
1323-08	Germany
1324-04	Sierra Leone
1327-04	Sierra Leone
1327-06	Germany
1339-07	Germany
134-06	Germany
1346-10	Germany
1346-11	Germany
1355-10	Germany
1355-12	Germany
1373-06	Germany
1373-08	Germany
1380-07	Germany
1398-07	Germany
1440-08	Germany
1441-09	Germany
1447-05	Germany
1457-09	Germany
1465-07	Germany
1468-06	Germany
1470-06	Germany
1471-06	Germany
1476-08	Germany
1482-07	Germany
1519-10	Germany
1520-10	Germany
1537-06	Germany
1553-05	Germany
1560-09	Germany
1563-10	Germany
1565-10	Germany
1568-10	Germany
1597-04	Sierra Leone
1599-04	Sierra Leone
1600-06	Uzbekistan
1601-06	Uzbekistan
1602-06	Uzbekistan
1603-06	Uzbekistan
1616-09	Germany
1616-12	Germany
1618-09	Germany
164-10	Germany
1654-11	Germany
